Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2018,APPLUS SERVICES SA,Spain,Activities auxiliary to financial intermediation (67),-1.62%,-25.12%,"(3,10,59,488)","(69,39,394)","(1,763)","(90,516)","(21,094)",(310),"(3,850)","(2,40,03,212)",652,0%
2018,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),-0.46%,-4.28%,"(2,35,30,704)","(1,75,76,865)","(4,191)","(2,34,020)","(54,603)",(766),"(3,661)","(56,57,645)","1,047 ",1%
2018,SGS SA,Switzerland,Activities auxiliary to financial intermediation (67),-0.32%,-2.13%,"(2,20,83,908)","(1,83,85,456)","(4,273)","(2,43,627)","(56,860)",(783),"(3,489)","(33,90,060)",639,0
2018,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.55%,-3.39%,"(1,97,43,336)","(1,93,12,582)","(4,522)","(2,56,694)","(60,089)",(820),"(3,428)","(1,05,662)",461,1%
2018,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation (67),-0.26%,-1.91%,"(1,42,55,905)","(91,62,390)","(3,149)","(1,26,821)","(28,623)",(597),"(1,94,781)","(47,45,756)","6,212 ",18%
2018,BUREAU VERITAS SA,France,Activities auxiliary to financial intermediation (67),-0.20%,-1.60%,"(1,11,96,410)","(1,09,50,902)","(2,690)","(1,45,917)","(33,926)",(493),"(3,953)","(59,658)","1,131 ",3%
2018,SAGA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.93%,-4.04%,"(1,02,36,048)","(1,00,13,253)","(2,322)","(1,33,125)","(31,182)",(422),"(1,053)","(54,832)",142,0%
2018,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.10%,-0.39%,"(96,60,180)","(87,22,235)","(2,278)","(1,15,583)","(26,851)",(406),"(9,169)","(7,84,892)","1,234 ",4%
2018,CHINA PACIFIC INSURANCE (GROUP) COMPANY LIMITED,China,Activities auxiliary to financial intermediation (67),-0.02%,-0.20%,"(92,69,833)","(90,34,479)","(1,621)","(98,144)","(21,923)",(301),"(74,336)","(38,547)",(481),30%
2018,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),-0.03%,-0.85%,"(88,62,242)","(80,75,632)","(2,773)","(1,00,989)","(21,725)",(542),"(30,725)","(6,36,700)","6,843 ",8%
2018,DKSH HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.07%,-3.34%,"(80,62,300)","(73,24,716)","(1,791)","(95,905)","(22,048)",(335),"(5,902)","(6,12,684)","1,081 ",7%
2018,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.14%,-1.53%,"(72,15,137)","(70,55,116)","(1,761)","(93,611)","(21,818)",(316),"(4,795)","(38,364)",645,3%
2018,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),-0.27%,-3.55%,"(66,47,216)","(43,64,530)","(1,469)","(60,266)","(13,633)",(278),"(87,064)","(21,22,753)","2,777 ",18%
2018,VIENNA INSURANCE GROUP,Austria,Activities auxiliary to financial intermediation (67),-0.04%,-1.19%,"(44,94,817)","(44,07,054)","(1,050)","(51,330)","(11,652)",(195),"(3,913)","(20,486)",862,11%
2018,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.09%,-0.36%,"(40,60,348)","(39,69,822)","(1,011)","(52,644)","(12,252)",(181),"(3,343)","(21,544)",450,3%
2018,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation (67),-0.07%,-0.38%,"(36,28,133)","(33,00,222)",(920),"(42,744)","(9,672)",(174),"(5,497)","(2,70,128)","1,224 ",4%
2018,S&P GLOBAL INC,United States,Activities auxiliary to financial intermediation (67),-0.05%,-0.11%,"(30,55,076)","(29,88,221)","(1,081)","(39,189)","(8,655)",(207),"(5,059)","(15,212)","2,549 ",15%
2018,LONDON STOCK EXCHANGE GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.08%,-0.25%,"(22,55,492)","(21,83,251)",(580),"(28,917)","(6,709)",(103),"(2,613)","(33,670)",352,4%
2018,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong,Activities auxiliary to financial intermediation (67),-0.11%,-0.17%,"(20,50,935)","(20,05,475)",(524),"(25,955)","(6,003)",(92),"(2,612)","(10,556)",282,2%
2018,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.41%,-4.28%,"(19,72,447)","(19,29,323)",(456),"(25,638)","(5,998)",(83),(465),"(10,547)",63,1%
2018,BALOISE HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.02%,-0.30%,"(16,92,357)","(16,54,891)",(449),"(21,087)","(4,678)",(87),"(3,601)","(8,223)",660,1%
2018,ASX LIMITED,Australia,Activities auxiliary to financial intermediation (67),-0.23%,-0.34%,"(16,10,796)","(15,74,815)",(390),"(20,794)","(4,821)",(70),"(1,584)","(8,477)",155,2%
2018,UNIQA INSURANCE GROUP AG,Austria,Activities auxiliary to financial intermediation (67),-0.02%,-0.42%,"(11,98,629)","(11,78,237)",(293),"(11,474)","(2,470)",(55),"(2,255)","(4,341)",497,23%
2018,HELVETIA HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.01%,-0.17%,"(9,45,540)","(9,24,029)",(305),"(11,070)","(2,243)",(63),"(4,759)","(3,943)",872,2%
2018,JSE LIMITED,South Africa,Activities auxiliary to financial intermediation (67),-0.58%,N/A,"(8,93,710)","(8,73,687)",(198),"(11,509)","(2,683)",(36),(881),"(4,718)",1,2%
2018,AF POYRY AB,Sweden,Activities auxiliary to financial intermediation (67),-0.06%,-0.64%,"(8,71,993)","(8,51,660)",(262),"(10,186)","(2,180)",(56),"(4,530)","(3,832)",713,2%
2018,PAGEGROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.04%,-0.41%,"(7,47,204)","(7,29,603)",(225),"(9,617)","(2,204)",(39),"(1,897)","(3,874)",255,9%
2018,BURSA MALAYSIA BHD,Malaysia,Activities auxiliary to financial intermediation (67),-0.58%,-1.08%,"(7,39,468)","(7,17,866)",(169),"(9,291)","(2,166)",(31),(181),"(9,801)",36,2%
2018,ASSYSTEM SA,France,Activities auxiliary to financial intermediation (67),-0.08%,-1.44%,"(4,26,392)","(4,16,898)",(113),"(5,570)","(1,280)",(21),(366),"(2,250)",105,6%
2018,JAPAN EXCHANGE GROUP INC,Japan,Activities auxiliary to financial intermediation (67),-0.03%,-0.05%,"(3,40,916)","(3,32,934)",(125),"(4,454)",(986),(22),(903),"(1,734)",243,15%
2018,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,Spain,Activities auxiliary to financial intermediation (67),-0.06%,-0.11%,"(2,12,431)","(2,07,350)",(80),"(2,432)",(547),(13),(706),"(1,424)",120,9%
2018,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation (67),-0.05%,-0.21%,"(2,05,865)","(2,00,838)",(62),"(2,590)",(578),(11),(852),"(1,017)",83,6%
2018,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation (67),0.01%,0.02%,"1,41,800 ","1,37,340 ",55,"3,246 ",763,10,(920),"1,342 ",(35),0
2018,AVIVA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.01%,N/A,"29,18,278 ","28,70,797 ",(8),"39,166 ","9,762 ",18,"(21,521)","17,170 ","2,896 ",0
2018,MYTILINEOS HOLDINGS S.A.,Greece,Activities of membership organisation n.e.c. (91),-327.65%,-2573.65%,"(5,72,63,85,584)","(47,07,51,681)","(1,17,214)","(62,77,263)","(14,65,470)","(21,077)",(613),"(5,24,77,92,427)","40,161 ",0%
2018,SEMBCORP INDUSTRIES LIMITED,Singapore,Activities of membership organisation n.e.c. (91),-42.57%,-971.82%,"(3,65,23,30,182)","(2,63,95,67,635)","(7,59,004)","(3,32,49,305)","(78,34,294)","(1,12,998)","(18,15,342)","(96,89,81,805)","(9,799)",2%
2018,ENKA INSAAT VE SANAYI A.S.,Turkey,Activities of membership organisation n.e.c. (91),-55.93%,-267.38%,"(1,47,01,58,676)","(1,26,68,56,132)","(2,55,940)","(1,25,39,709)","(29,07,014)","(44,438)","(27,13,110)","(18,48,52,723)","10,389 ",0
2018,3M COMPANY,United States,Activities of membership organisation n.e.c. (91),-3.01%,-14.82%,"(98,68,81,614)","(74,70,89,244)","(1,70,843)","(99,97,206)","(23,03,051)","(31,226)","(33,282)","(22,72,69,184)","12,422 ",0%
2018,AYALA CORPORATION,Philippines,Activities of membership organisation n.e.c. (91),-18.62%,-103.45%,"(97,57,42,789)","(92,80,84,957)","(2,07,360)","(1,18,91,664)","(27,85,839)","(37,530)","(11,08,817)","(3,16,20,638)","(5,985)",4%
2018,ALFA SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),-3.57%,-47.25%,"(66,48,07,882)","(48,51,62,156)","(1,11,196)","(64,52,143)","(15,12,545)","(20,226)","(3,727)","(17,15,46,776)",886,0%
2018,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. (91),-8.81%,-42.05%,"(31,39,70,887)","(30,34,63,986)","(66,079)","(37,28,875)","(8,72,776)","(11,884)","(7,54,090)","(50,69,127)","(4,070)",9%
2018,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. (91),-0.69%,-4.60%,"(28,74,04,515)","(28,12,29,293)","(66,290)","(36,92,836)","(8,61,871)","(12,122)","(42,462)","(15,15,489)","15,848 ",0%
2018,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. (91),-3.14%,-48.52%,"(23,43,43,936)","(19,88,03,490)","(49,382)","(26,12,893)","(6,03,438)","(8,976)","(3,53,913)","(3,19,35,753)","23,910 ",3%
